"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"33","휴게음식점","07_24_05_P","3080000","3080000-104-2026-00008","2026-01-20","","03","폐업","02","폐업","2026-02-28","","","","03151422225","","142-804","서울특별시 강북구 미아동 70-6 롯데백화점 미아점","서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지하2층 (미아동)","01215","주식회사 보해명가","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","202625.646264572","456875.973976242","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"34","휴게음식점","07_24_05_P","3040000","3040000-104-2026-00008","2026-01-21","","03","폐업","02","폐업","2026-02-28","","","","","13.00","143-758","서울특별시 광진구 자양동 227-342 롯데백화점","서울특별시 광진구 능동로 92, 롯데백화점 지하1층 식품관 일부 (자양동)","05065","우진유통","2026-03-01 04:15:08","U","2026-03-04 02:40:00","기타 휴게음식점","206217.434726027","448506.218743834","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","13","","","",
"35","휴게음식점","07_24_05_P","3020000","3020000-104-2026-00026","2026-01-28","","03","폐업","02","폐업","2026-02-28","","","","","","140-780","서울특별시 용산구 한강로3가 40-999 용산역","서울특별시 용산구 한강대로23길 55, 용산아이파크몰 6층 (한강로3가)","04377","(주)미르에프엔비","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","196762.077394917","447480.039577359","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"36","휴게음식점","07_24_05_P","3330000","3330000-104-2026-00027","2026-01-28","","01","영업/정상","01","영업","","","","","","68.75","612-820","부산광역시 해운대구 우동 532-18","부산광역시 해운대구 우동1로20번길 21, 1층 (우동)","48087","부산바다샌드","2026-03-02 09:26:01","U","2026-03-04 02:40:00","기타 휴게음식점","396525.34487834","187141.040831582","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","68.75","","","",
"37","휴게음식점","07_24_05_P","4530000","4530000-104-2026-00011","2026-01-28","","03","폐업","02","폐업","2026-02-28","","","","","100.00","356-851","충청남도 서산시 성연면 왕정리 687","","","청담떡볶이","2026-03-01 04:15:12","U","2026-03-04 02:40:00","일반조리판매","151482.549306193","369670.877024265","일반조리판매","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","100","","","",
"38","휴게음식점","07_24_05_P","5130000","5130000-104-2026-00011","2026-01-28","","01","영업/정상","01","영업","","","","","","26.25","712-120","경상북도 경산시 계양동 112","경상북도 경산시 계양로 149, 2층 (계양동)","38616","카페아이엔지 영남대생활관점","2026-03-02 13:33:23","U","2026-03-04 02:40:00","커피숍","357894.905653908","260045.679810182","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","26.25","","","",
"39","휴게음식점","07_24_05_P","5130000","5130000-104-2026-00010","2026-01-28","","01","영업/정상","01","영업","","","","","","197.24","712-833","경상북도 경산시 진량읍 내리리 15 대구대학교경산캠퍼스 학생생활관(웅지관)","경상북도 경산시 진량읍 대구대로 201, 대구대학교경산캠퍼스 학생생활관(웅지관) 2층","38453","버거운버거 대구대점","2026-03-01 10:44:26","U","2026-03-04 02:40:00","패스트푸드","366747.877404956","268490.244806368","패스트푸드","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","197.24","","","",
"40","휴게음식점","07_24_05_P","3590000","3590000-104-2026-00010","2026-01-28","","01","영업/정상","01","영업","","","","","","48.50","501-210","광주광역시 동구 용산동 747 무등산골드클래스2차 402동 104-3호","광주광역시 동구 남문로 589, 402동 104-3호 (용산동, 무등산골드클래스2차)","61499","텐퍼센트 커피(무등산골드클래스2차점)","2026-03-02 13:53:27","U","2026-03-04 02:40:00","커피숍","193684.914452541","180524.10594656","커피숍","0","0","","","","0","0","0","0","0","","0","0","N","48.5","","","",
"41","휴게음식점","07_24_05_P","3780000","3810000-104-2026-00025","2026-01-28","","03","폐업","02","폐업","2026-02-28","","","","","","463-778","경기도 성남시 분당구 수내동 14 롯데백화점 분당점 지하1층 일부","경기도 성남시 분당구 황새울로200번길 45, 롯데백화점 분당점 지하1층 일부 (수내동)","13595","카우엔-한시적","2026-03-01 04:15:09","U","2026-03-04 02:40:00","일반조리판매","210053.033510874","430715.591035213","일반조리판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"42","휴게음식점","07_24_05_P","3510500","3510500-104-2026-00016","2026-01-28","","03","폐업","02","폐업","2026-02-28","","","","","","","인천광역시 미추홀구 관교동 15 인천종합터미널,롯데백화점","인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 지하1층 (관교동)","22242","계란빵클럽","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","173499.267314606","437739.32138498","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
